"","changepoint_prior_scale","seasonality_prior_scale","holidays_prior_scale","seasonality_mode","changepoint_range","mse","mae","mape"
"231",0.01,10,0.01,"multiplicative",0.9,390920.439146607,533.35422670682,0.0418429844205303
"232",0.01,10,0.01,"multiplicative",0.95,392031.647799499,535.961467560449,0.0420576393117026
"233",0.01,10,0.1,"additive",0.8,877647.76622095,792.783050170616,0.063222560802266
"234",0.01,10,0.1,"additive",0.85,880790.753682177,794.057072650428,0.0633500020275541
"235",0.01,10,0.1,"additive",0.9,874519.890284218,794.91036906373,0.063341617775828
"236",0.01,10,0.1,"additive",0.95,884686.520596349,795.810049914003,0.0634640766737501
"237",0.01,10,0.1,"multiplicative",0.8,392212.900932754,533.952548243181,0.0418344907458883
"238",0.01,10,0.1,"multiplicative",0.85,398653.458434031,540.37045818207,0.0423806167785547
"239",0.01,10,0.1,"multiplicative",0.9,390920.439146607,533.35422670682,0.0418429844205303
"240",0.01,10,0.1,"multiplicative",0.95,392031.647799499,535.961467560449,0.0420576393117026
"241",0.01,10,1,"additive",0.8,877647.76622095,792.783050170616,0.063222560802266
"242",0.01,10,1,"additive",0.85,880790.753682177,794.057072650428,0.0633500020275541
"243",0.01,10,1,"additive",0.9,874519.890284218,794.91036906373,0.063341617775828
"244",0.01,10,1,"additive",0.95,884686.520596349,795.810049914003,0.0634640766737501
"245",0.01,10,1,"multiplicative",0.8,392212.900932754,533.952548243181,0.0418344907458883
"246",0.01,10,1,"multiplicative",0.85,398653.458434031,540.37045818207,0.0423806167785547
"247",0.01,10,1,"multiplicative",0.9,390920.439146607,533.35422670682,0.0418429844205303
"248",0.01,10,1,"multiplicative",0.95,392031.647799499,535.961467560449,0.0420576393117026
"249",0.01,10,10,"additive",0.8,877647.76622095,792.783050170616,0.063222560802266
"250",0.01,10,10,"additive",0.85,880790.753682177,794.057072650428,0.0633500020275541
"251",0.01,10,10,"additive",0.9,874519.890284218,794.91036906373,0.063341617775828
"252",0.01,10,10,"additive",0.95,884686.520596349,795.810049914003,0.0634640766737501
"253",0.01,10,10,"multiplicative",0.8,392212.900932754,533.952548243181,0.0418344907458883
"254",0.01,10,10,"multiplicative",0.85,398653.458434031,540.37045818207,0.0423806167785547
"255",0.01,10,10,"multiplicative",0.9,390920.439146607,533.35422670682,0.0418429844205303
"256",0.01,10,10,"multiplicative",0.95,392031.647799499,535.961467560449,0.0420576393117026
"257",0.1,0.01,0.01,"additive",0.8,832867.112554126,786.307153933314,0.0645791533752949
"258",0.1,0.01,0.01,"additive",0.85,829867.948805953,783.754860454639,0.0643384200023476
"259",0.1,0.01,0.01,"additive",0.9,840440.533871426,789.885080570367,0.064922974710505
"260",0.1,0.01,0.01,"additive",0.95,841460.679152653,789.333458143331,0.0649093133472329
"261",0.1,0.01,0.01,"multiplicative",0.8,339462.974608056,515.175047535583,0.0416069206478831
"262",0.1,0.01,0.01,"multiplicative",0.85,338464.671187692,514.210702754644,0.0415421605399847
"263",0.1,0.01,0.01,"multiplicative",0.9,347672.293580645,521.210655753686,0.0422666896471166
"264",0.1,0.01,0.01,"multiplicative",0.95,349110.604088828,522.401027379969,0.0423832381615952
"265",0.1,0.01,0.1,"additive",0.8,832867.112554126,786.307153933314,0.0645791533752949
"266",0.1,0.01,0.1,"additive",0.85,829867.948805953,783.754860454639,0.0643384200023476
"267",0.1,0.01,0.1,"additive",0.9,840440.533871426,789.885080570367,0.064922974710505
"268",0.1,0.01,0.1,"additive",0.95,841460.679152653,789.333458143331,0.0649093133472329
